"label","type","author","title","journal","year","volume","number","pages","month","abstract","doi","article_number","issn","eissn","unique_id","researcherid_numbers","orcid_numbers","earlyaccessdate","note","organization","address","keywords","language","p","n","sd","matches"
"WOS.000851039600027","Article","Paola Pascual-Ferra and Neil Alperstein and Daniel J. Barnett","Social Network Analysis of COVID-19 Public Discourse on Twitter: Implications for Risk Communication","DISASTER MEDICINE AND PUBLIC HEALTH PREPAREDNESS",2022,"16","2","561-569","APR","Objectives: The purpose of this study was to demonstrate the use of social network analysis to understand public discourse on Twitter around the novel coronavirus disease 2019 (COVID-19) pandemic. We examined different network properties that might affect the successful dissemination by and adoption of public health messages from public health officials and health agencies. Methods: We focused on conversations on Twitter during 3 key communication events from late January to early June of 2020. We used Netlytic, a Web-based software that collects publicly available data from social media sites such as Twitter. Results: We found that the network of conversations around COVID-19 is highly decentralized, fragmented, and loosely connected; these characteristics can hinder the successful dissemination of public health messages in a network. Competing conversations and misinformation can hamper risk communication efforts in a way that imperil public health. Conclusions: Looking at basic metrics might create a misleading picture of the effectiveness of risk communication efforts on social media if not analyzed within the context of the larger network. Social network analysis of conversations on social media should be an integral part of how public health officials and agencies plan, monitor, and evaluate risk communication efforts.","10.1017/dmp.2020.347","PII S193578932000347X","1935-7893","1938-744X","WOS:000851039600027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"WOS.001134572400028","Article","Bingjie Shen and Tianjia Guan and Jing Ma and Linghe Yang and Yuanli Liu","Social network research hotspots and trends in public health: A bibliometric and visual analysis","PUBLIC HEALTH IN PRACTICE",2021,"2",NA,NA,"NOV","Objectives: To understand the research landscape and identify the research hotspots and trends of the application of social network theory and analysis to public health. Study design: A bibliometric study of publications regarding application of social network theory and analysis to public health.Methods: Choosing 1607 articles about the application of social network theory and analysis to public health from the core collection database of Web of Science published from 1991 to 2020 as the research sample. A biblio-metric and visual analysis of publication quantity and content was performed to analyze time trends, spatial distribution, cooperation networks, influential references, and keyword co-occurrence, clusters, and emergence. Results: There is an increasing trend in the use of social network theory and analysis in the public health field, with the United States taking the lead. Research focuses include on transmission of diseases or behavior through social networks and the influence of social networks on population health at different ages. Current research frontiers primarily include the role of social networks in tracking of emerging infectious diseases like COVID-19, preventing and controlling chronic diseases, and carrying out healthy behavioral interventions.Conclusions: This study provides a comprehensive quantitative overview of the historic development of and latest topics in the application of social network theory and analysis method to public health. More attention should be paid to the important role of social networks in tracing the emergence of serious infectious diseases like COVID-19, as well as preventing and controlling chronic diseases and intervening in health behaviors, considering the increasing challenges and opportunities presented by online social networking.","10.1016/j.puhip.2021.100155","100155","2666-5352",NA,"WOS:001134572400028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"WOS.000750770500001","Article","Nihal Durmaz and Engin Hengirmen","The dramatic increase in anti-vaccine discourses during the COVID-19 pandemic: a social network analysis of Twitter","HUMAN VACCINES \& IMMUNOTHERAPEUTICS",2022,"18","1",NA,"2022 DEC 31","Background/Aim The first case of COVID-19 in Turkey was officially recorded on March 11, 2020. Social media use increased worldwide, as well as in Turkey, during the pandemic, and conspiracy theories/fake news about medical complications of vaccines spread throughout the world. The aim of this study was to identify community interactions related to vaccines and to identify key influences/influencers before and after the pandemic using social network data from Twitter. Materials and methods Two datasets, including tweets about vaccinations before and after COVID-19 in Turkey, were collected. Social networks were created based on interactions (mentions) between Twitter users. Users and their influence were scored based on social network analysis and parameters that included in-degree and betweenness centrality. Results In the pre-COVID-19 network, media figures and authors who had anti-vaccine views were the most influential users. In the post-COVID-19 network, the Turkish minister of health, the was the most influential figure. The vaccine network was observed to be growing rapidly after COVID-19, and the physicians and authors who had opinions about mandatory vaccinations received a great deal of reaction. One-way communication between influencers and other users in the network was determined. Conclusions This study shows the effectiveness and usefulness of large social media data for understanding public opinion on public health and vaccination in Turkey. The current study was completed before the implementation of the COVID-19 vaccine in Turkey. We anticipated that social network analysis would help reduce the ``infodemic{''} before administering the vaccine and would also help public health workers act more proactively in this regard.","10.1080/21645515.2021.2025008",NA,"2164-5515","2164-554X","WOS:000750770500001","Durmaz, Nihal/AAV-7433-2021 ","Durmaz, Nihal/0000-0002-3079-1769 HENGIRMEN, ENGIN/0000-0001-9330-3251","JAN 2022",NA,NA,NA,NA,NA,NA,NA,NA,4
"WOS.000814631700007","Article","Kaiyang Li and Ling Tian and Xu Zheng and Bei Hui","Plausible Heterogeneous Graph \$k\$-Anonymization for Social Networks","TSINGHUA SCIENCE AND TECHNOLOGY",2022,"27","6","912-924","DEC","The inefficient utilization of ubiquitous graph data with combinatorial structures necessitates graph embedding methods, aiming at learning a continuous vector space for the graph which is amenable to be adopted in traditional machine learning algorithms in favor of vector representations. Graph embedding methods build an important bridge between social network analysis and data analytics as social networks naturally generate an unprecedented volume of graph data continuously. Publishing social network data not only bring benefit for public health, disaster response, commercial promotion, and many other applications, but also give birth to threats that jeopardize each individual's privacy and security. Unfortunately, most existing works in publishing social graph embedding data only focus on preserving social graph structure with less attention paid to the privacy issues inherited from social networks. To be specific, attackers can infer the presence of a sensitive relationship between two individuals by training a predictive model with the exposed social network embedding. In this paper, we propose a novel link-privacy preserved graph embedding framework using adversarial learning, which can reduce adversary's prediction accuracy on sensitive links while persevering sufficient non-sensitive information such as graph topology and node attributes in graph embedding. Extensive experiments are conducted to evaluate the proposed framework using ground truth social network datasets.","10.26599/TST.2021.9010083",NA,"1007-0214","1878-7606","WOS:000814631700007","Li, Kaiyang/HFZ-9987-2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"WOS.000723426200001","Article","Tosin Popoola and Joan Skinner and Martin Woods","Exploring the Social Networks of Women Bereaved by Stillbirth: A Descriptive Qualitative Study","JOURNAL OF PERSONALIZED MEDICINE",2021,"11","11",NA,"NOV","The loss of a baby to stillbirth is a traumatic experience and can lead to secondary losses, such as the loss of social relationships. In Nigeria, stillbirths are a common public health problem. However, limited attention has been given to the social ramifications of stillbirths. This study describes the social networks of women who have experienced a stillbirth and the factors influencing their social networks. Interviews and social network diagrams were used to collect data from 20 women about their social networks before and after stillbirth. Findings suggest that the experience of shame, unmet expectation of support, and a lack of trust led to relationship changes after stillbirth. Most participants met bereavement needs with their existing social networks before stillbirth, but many participants also experienced relationship losses (even among family networks). Information from social network analysis can reveal the risks and strengths inherent in social networks, which can be helpful for the provision of tailored/personalized bereavement care.","10.3390/jpm11111056","1056",NA,"2075-4426","WOS:000723426200001","Woods, Martin/P-6088-2016 Popoola, Tosin/AAO-5173-2021 Popoola, Tosin/HJA-1513-2022","Popoola, Tosin/0000-0003-2761-7783 Popoola, Tosin/0000-0003-2761-7783",NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"WOS.000996122900034","Article","Naomi Zakimi and Alissa Greer and Martin Bouchard and Arshpreet Dhillon and Alison Ritter","Sociometric network analysis in illicit drugs research: A scoping review","PLOS ONE",2023,"18","2",NA,"FEB 27","BackgroundSociometric or whole network analysis, a method used to analyze relational patterns among social actors, emphasizes the role of social structure in shaping behaviour. Such method has been applied to many aspects of illicit drug research, including in the areas of public health, epidemiology, and criminology. Previous reviews about social networks and drugs have lacked a focus on the use of sociometric network analysis for illicit drugs research across disciplines. The current scoping review aimed to provide an overview of the sociometric network analysis methods used in illicit drugs research and to assess how such methods could be used for future research. MethodsA systematic search of six databases (Web of Science, ProQuest Sociology Collection, Political Science Complete, PubMed, Criminal Justice Abstracts, and PsycINFO) returned 72 relevant studies that met the inclusion criteria. To be included, studies had to mention illicit drugs and use whole social network analysis as one of their methods. Studies were summarized quantitatively and qualitatively using a data-charting form and a description of the studies' main topics. ResultsSociometric network analysis in illicit drugs research has grown in popularity in the last decade, using mostly descriptive network metrics, such as degree centrality (72.2\%) and density (44.4\%). Studies were found to belong to three study domains. The first, drug crimes investigated network resilience and collaboration patterns in drug trafficking networks. The second domain, public health, focused on the social networks and social support of people who use drugs. Finally, the third domain focused on the collaboration networks of policy, law enforcement, and service providers. ConclusionFuture illicit drugs research using whole network SNA should include more diverse data sources and samples, incorporate mixed and qualitative methods, and apply social network analysis to study drug policy.","10.1371/journal.pone.0282340","e0282340","1932-6203",NA,"WOS:000996122900034","Ritter, Alison/K-1195-2012 ","/0000-0003-3582-3261",NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"WOS.001005979900003","Article","Wasim Ahmed and Ronnie Das and Josep Vidal-Alaball and Mariann Hardey and Aina Fuster-Casanovas","Twitter's Role in Combating the Magnetic Vaccine Conspiracy Theory: Social Network Analysis of Tweets","JOURNAL OF MEDICAL INTERNET RESEARCH",2023,"25",NA,NA,"MAR 31","Background: The popularity of the magnetic vaccine conspiracy theory and other conspiracy theories of a similar nature creates challenges to promoting vaccines and disseminating accurate health information. Objective: Health conspiracy theories are gaining in popularity. This study's objective was to evaluate the Twitter social media network related to the magnetic vaccine conspiracy theory and apply social capital theory to analyze the unique social structures of influential users. As a strategy for web-based public health surveillance, we conducted a social network analysis to identify the important opinion leaders sharing the conspiracy, the key websites, and the narratives. Methods: A total of 18,706 tweets were retrieved and analyzed by using social network analysis. Data were retrieved from June 1 to June 13, 2021, using the keyword vaccine magnetic. Tweets were retrieved via a dedicated Twitter application programming interface. More specifically, the Academic Track application programming interface was used, and the data were analyzed by using NodeXL Pro (Social Media Research Foundation) and Gephi. Results: There were a total of 22,762 connections between Twitter users within the data set. This study found that the most influential user within the network consisted of a news account that was reporting on the magnetic vaccine conspiracy. There were also several other users that became influential, such as an epidemiologist, a health economist, and a retired sports athlete who exerted their social capital within the network. Conclusions: Our study found that influential users were effective broadcasters against the conspiracy, and their reach extended beyond their own networks of Twitter followers. We emphasize the need for trust in influential users with regard to health information, particularly in the context of the widespread social uncertainty resulting from the COVID-19 pandemic, when public sentiment on social media may be unpredictable. This study highlights the potential of influential users to disrupt information flows of conspiracy theories via their unique social capital.","10.2196/43497","e43497","1438-8871",NA,"WOS:001005979900003","Vidal-Alaball, Josep/P-5975-2017 Hardey, Mariann (Maz)/L-6071-2017 ","Vidal-Alaball, Josep/0000-0002-3527-4242 Hardey, Mariann (Maz)/0000-0002-1027-0165 Fuster-Casanovas, Aina/0000-0001-9128-9580 Ahmed, Wasim/0000-0001-8923-1865",NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"WOS.000967089900001","Article","Jiayi Shi and Zhaowei Khoo","Online health community for change: Analysis of self-disclosure and social networks of users with depression","FRONTIERS IN PSYCHOLOGY",2023,"14",NA,NA,"MAR 28","Background A key research question with theoretical and practical implications is to investigate the various conditions by which social network sites (SNS) may either enhance or interfere with mental well-being, given the omnipresence of SNS and their dual effects on well-being. Method/process We study SNS' effects on well-being by accounting for users' personal (i.e., self-disclosure) and situational (i.e., social networks) attributes, using a mixed design of content analysis and social network analysis. Result/conclusion We compare users' within-person changes in self-disclosure and social networks in two phases (over half a year), drawing on Weibo Depression SuperTalk, an online community for depression, and find: Several network attributes strengthen social support, including network connectivity, global efficiency, degree centralization, hubs of communities, and reciprocal interactions. Users' self-disclosure attributes reflect positive changes in mental well-being and increased attachment to the community. Correlations exist between users' topological and self-disclosure attributes. A Poisson regression model extracts self-disclosure attributes that may affect users' received social support, including the writing length, number of active days, informal words, adverbs, negative emotion words, biological process words, and first-person singular forms. Innovation We combine social network analysis with content analysis, highlighting the need to understand SNS' effects on well-being by accounting for users' self-disclosure (content) and communication partners (social networks). Implication/contribution Authentic user data helps to avoid recall bias commonly found in self-reported data. A longitudinal within-person analysis of SNS' effects on well-being is helpful for policymakers in public health intervention, community managers for group organizations, and users in online community engagement.","10.3389/fpsyg.2023.1092884","1092884","1664-1078",NA,"WOS:000967089900001",NA,"Khoo, Zhao Wei/0009-0009-8469-7864 shi, jiayi/0000-0003-4215-3374",NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"WOS.000458616900001","Article","Simon Packer and Claire Green and Ellen Brooks-Pollock and Katerina Chaintarli and Sarah Harrison and Charles R. Beck","Social network analysis and whole genome sequencing in a cohort study to investigate TB transmission in an educational setting","BMC INFECTIOUS DISEASES",2019,"19",NA,NA,"FEB 13","Background: TB outbreaks in educational institutions can result in significant transmission and pose a considerable threat to TB control. Investigation using traditional microbiological and epidemiological tools can lead to imprecise screening strategies due to difficulties characterising complex transmission networks. Application of whole genome sequencing (WGS) and social network analysis can provide additional information that may facilitate rapid directed public health action. We report the utility of these methods in combination with traditional approaches for the first time to investigate a TB outbreak in an educational setting. Methods: Latent tuberculosis infection (LTBI) cases were screenees with a positive T-SPOT (R).TB test. Active TB cases were defined through laboratory confirmation of M. tuberculosis on culture or through clinical or radiological findings consistent with infection. Epidemiological data were collected from institutional records and screenees. Samples were cultured and analysed using traditional M. tuberculosis typing and WGS. We undertook multivariable multinomial regression and social network analysis to identify exposures associated with case status and risk communities. Results: We identified 189 LTBI cases (13.7\% positivity rate) and nine active TB cases from 1377 persons screened. The LTBI positivity rate was 39.1\% (99/253) among persons who shared a course with an infectious case (odds ratio 7.3, 95\% confidence interval {[}CI] 5.2 to 10.3). The community structure analysis divided the students into five communities based on connectivity, as opposed to the 11 shared courses. Social network analysis identified that the community including the suspected index case was at significantly elevated risk of active disease (odds ratio 7.5, 95\% CI 1.3 to 44.0) and contained eight persons who were lost to follow-up. Five sputum samples underwent WGS, four had zero single nucleotide polymorphism (SNP) differences and one had a single SNP difference. Conclusion: This study demonstrates the public health impact an undiagnosed case of active TB disease can have in an educational setting within a low incidence area. Social network analysis and whole genome sequencing provided greater insight to evolution of the transmission network and identification of communities of risk. These tools provide further information over traditional epidemiological and microbiological approaches to direct public health action in this setting.","10.1186/s12879-019-3734-8","154","1471-2334",NA,"WOS:000458616900001",NA,"Brooks-Pollock, Ellen/0000-0002-5984-4932 /0000-0002-9157-3650 Beck, Charles Richard/0000-0002-0967-5333",NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"WOS.000790887900001","Article","Yaling Shi and Yong Huang and Ran Zhang and Di Jiang and Junxue Zhang","Adaptive Renewal of Mountainous Historical Towns Based on the Stability of the Social Network Structure: A Case Study in Chongqing, China","FRONTIERS IN PUBLIC HEALTH",2022,"10",NA,NA,"APR 1","The stability of social network structure (SSNS) in historical towns is influenced by changes in built environments and demographic factors. The historical towns in China have evolved into massive rural-urban migration under the rapid urbanization over the past forty years. In this context, many of these historical towns experienced ``declining built environment and disintegrating social networks, `` which does not contribute to the adaptive renewal of the built environment and social networks in historical towns, as well as the psychological health of residents. This article intends to explore the adaptive renewal of the built environment and social networks of historical towns based on the SSNS. Data on ``households `` and ``social ties `` (i.e., kinship, geographic, and job relationship) among households were collected via a field survey in seven historical towns in Chongqing, China. K-core models of social network analysis (SNA) were calculated to analyze SSNS. The result shows that the social networks of historical towns with centripetal-shaped structures were more stable than historical towns with divergent-shaped structures. Moreover, spatial layout forms and functions of households might affect the stability of social networks in historical towns. Based on the results of the analysis of SSNS, strategies for adaptive renewal of the built environments and social networks were put forward in two aspects. The built environment, such as the classification of public spaces and service facilities, can be designed based on the k-core indicator for increasing the spatial connection of households in the historical towns. In addition, increased social activities in historical towns with weak SSNS may promote social connection of households, and are also helpful in boosting public health in psychological aspects.","10.3389/fpubh.2022.867407","867407",NA,"2296-2565","WOS:000790887900001","Zhang, Junxue/JZD-4517-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
